k,metric,mcc
1,cosine,0.9196992252715506
1,euclidean,0.918105202340703
1,manhattan,0.9170407351980214
3,manhattan,0.9003659961403623
3,cosine,0.8970433420879746
3,euclidean,0.895773516606871
5,manhattan,0.8828641692455704
5,cosine,0.8818791209477752
5,euclidean,0.8801386030232953
7,manhattan,0.8714086197661206
7,cosine,0.8702013515000562
7,euclidean,0.8670547662224429
9,manhattan,0.8643517289141862
9,cosine,0.8588073892341976
9,euclidean,0.8559829010323264
